Name,Photo,Age,Country,Interest, Net Worth 
Lee Siew Suan,https://static.kasatria.com/pivot-img/photo/019.jpg,25,CN,Writing,"$251,260.80"
New Yee Chian,https://static.kasatria.com/pivot-img/photo/020.jpg,23,CN,Cooking,"$60,393.60"
Wong Thiam Fook,https://static.kasatria.com/pivot-img/photo/021.jpg,30,CN,Traveling,"$212,140.80"
Norsuzilawati Mohd Noor,https://static.kasatria.com/pivot-img/photo/022.jpg,30,MY,Painting,"$208,228.80"
Norzainah Omar,https://static.kasatria.com/pivot-img/photo/023.jpg,30,MY,Hiking,"$106,555.20"
Meghandran Nathy,https://static.kasatria.com/pivot-img/photo/024.jpg,31,IN,Cooking,"$139,080.00"
Joyshree Goswami,https://static.kasatria.com/pivot-img/photo/025.jpg,35,IN,Painting,"$192,278.40"
Geetha Maniam,https://static.kasatria.com/pivot-img/photo/026.jpg,27,IN,Cooking,"$90,864.00"
Abdul Rahim Osman,https://static.kasatria.com/pivot-img/photo/027.jpg,30,MY,Cooking,"$141,859.20"
Prem Anand Raj,https://static.kasatria.com/pivot-img/photo/028.jpg,44,IN,Gardening,"$196,113.60"
Piara Singh Sarwan Singh,https://static.kasatria.com/pivot-img/photo/029.jpg,34,IN,Writing,"$207,960.00"
Othman b Abdul Rahman,https://static.kasatria.com/pivot-img/photo/030.jpg,53,MY,Gardening,"$193,200.00"
Sathiaseelan Paul Thurai,https://static.kasatria.com/pivot-img/photo/031.jpg,59,IN,Gardening,"$264,456.00"
Abdul Farid Alias,https://static.kasatria.com/pivot-img/photo/MY0014.jpg,36,MY,Writing,"$146,592.00"
Abu Hassan Assari Ibrahim,https://static.kasatria.com/pivot-img/photo/MY0010.jpg,43,MY,Gardening,"$213,657.60"
Faridah Ahmad Iskandar,https://static.kasatria.com/pivot-img/photo/MY_003.jpg,31,MY,Writing,"$271,516.80"
Muzaffar Hisham,https://static.kasatria.com/pivot-img/photo/MY0009.jpg,35,MY,Cooking,"$230,980.80"
Isaac Cardinal,https://static.kasatria.com/pivot-img/photo/CA0088.jpg,49,US,Gardening,"$259,252.80"
Prabunathan A/L Gopal,https://static.kasatria.com/pivot-img/photo/IND_021.jpg,29,IN,Writing,"$271,670.40"
Taswin Zakaria,https://static.kasatria.com/pivot-img/photo/MY0012.jpg,41,MY,Gardening,"$243,840.00"
Crystal Carter,https://static.kasatria.com/pivot-img/photo/039.jpg,35,US,Cooking,"$211,550.40"
Vivian Grapentine,https://static.kasatria.com/pivot-img/photo/040.jpg,36,CN,Writing,"$149,361.60"
Joey De Leion,https://static.kasatria.com/pivot-img/photo/041.jpg,35,US,Hiking,"$60,974.40"
Mark Feehily,https://static.kasatria.com/pivot-img/photo/042.jpg,30,US,Cooking,"$125,496.00"
Cheong Choong Kong,https://static.kasatria.com/pivot-img/photo/114.jpg,25,CN,Painting,"$111,412.80"
George Lee Lap Wah,https://static.kasatria.com/pivot-img/photo/115.jpg,31,CN,Painting,"$146,174.40"
Yong Mei Theng,https://static.kasatria.com/pivot-img/photo/116.jpg,28,CN,Writing,"$187,896.00"
Tang Zhee Kim,https://static.kasatria.com/pivot-img/photo/117.jpg,24,CN,Painting,"$264,355.20"
